Energy_(eV)	counts
9569.875023	0.087450165
9570.122098	0.092568895
9570.369177	0.09437756
9570.61626	0.097319524
9570.863347	0.10266815
9571.110438	0.107680349
9571.357533	0.11179231
9571.604633	0.112955546
9571.851736	0.117994391
9572.098843	0.117768607
9572.345955	0.116408211
9572.59307	0.111166837
9572.84019	0.106234752
9573.087313	0.096007287
9573.33444	0.091043149
9573.581571	0.081254911
9573.828706	0.072465319
9574.075845	0.065849551
9574.322988	0.060017681
9574.570134	0.054008736
9574.817285	0.049868115
9575.064439	0.045448784
9575.311597	0.042203136
9575.558759	0.039966837
9575.805925	0.036256491
9576.053094	0.03609863
9576.300267	0.033184023
9576.547444	0.032786126
9576.794624	0.03013817
9577.041808	0.027630761
9577.288996	0.025386887
9577.536187	0.024416757
9577.783383	0.023003251
9578.030581	0.021362898
9578.277784	0.020018261
9578.524989	0.01721334
9578.772199	0.016200169
9579.019412	0.015024927
9579.266628	0.015047343
9579.513848	0.013612431
9579.761072	0.012208933
9580.008299	0.011959445
9580.25553	0.011389211
9580.502764	0.010785461
9580.750001	0.010774564
9580.997242	0.010397839
9581.244486	0.009565917
9581.491734	0.007993836
9581.738985	0.00822068
9581.98624	0.00775341
9582.233498	0.007171772
9582.480759	0.006692581
9582.728024	0.005724351
9582.975292	0.006716269
9583.222563	0.005474067
9583.469837	0.005451234
9583.717115	0.005371119
9583.964396	0.004835797
9584.211681	0.004584958
9584.458968	0.004516081
9584.706259	0.003604595
9584.953553	0.003866666
9585.20085	0.003547944
9585.448151	0.003821201
9585.695455	0.003262784
9585.942762	0.003524869
9586.190072	0.00310312
9586.437385	0.002909398
9586.684701	0.002305449
9586.93202	0.002829595
9587.179343	0.002920751
9587.426669	0.002692384
9587.673997	0.002202617
9587.921329	0.00293205
9588.168664	0.002191286
9588.416002	0.002191041
9588.663343	0.00236194
9588.910687	0.002407782
9589.158034	0.002111231
9589.405384	0.001906383
9589.652737	0.00170131
9589.900093	0.001883449
9590.147452	0.001541678
9590.394814	0.00153017
9590.642179	0.001666866
9590.889546	0.001701063
9591.136917	0.001381727
9591.384291	0.001233841
9591.631667	0.001518845
9591.879047	0.001610037
9592.126429	0.001393296
9592.373814	0.001279466
9592.621202	0.001279413
9592.868593	0.001347896
9593.115987	0.001199562
9593.363384	0.001165495
9593.610783	0.001336329
9593.858185	0.001085555
9594.10559	0.00122237
9594.352998	0.000948912
9594.600409	0.000903309
9594.847822	0.000948828
9595.095239	0.000994459
9595.342657	0.00081205
9595.590079	0.000800719
9595.837503	0.000869118
9596.084931	0.000869082
9596.33236	0.00092608
9596.579793	0.000766543
9596.827228	0.000994549
9597.074666	0.000869141
9597.322107	0.000960271
9597.56955	0.000869121
9597.816996	0.000960454
9598.064444	0.000709418
9598.311895	0.001028594
9598.559349	0.000755091
9598.806806	0.00058426
9599.054265	0.000812123
9599.301726	0.000686706
9599.549191	0.000561405
9599.796657	0.000447333
9600.044127	0.000493043
9600.291599	0.000606921
9600.539073	0.000504396
9600.78655	0.000470219
9601.03403	0.000629745
9601.281512	0.000606876
9601.528997	0.000424579
9601.776484	0.000515828
9602.023974	0.000504356
9602.271466	0.000550064
9602.51896	0.000378996
9602.766457	0.000572679
9603.013957	0.00031069
9603.261459	0.000880457
9603.508964	0.000584243
9603.756471	0.000424585
9604.00398	0.000470222
9604.251492	0.000504289
9604.499006	0.000515732
9604.746523	0.000493023
9604.994042	0.000504469
9605.241563	0.000413156
9605.489087	0.000458829
9605.736614	0.000356226
9605.984142	0.000344814
9606.231673	0.000447403
9606.479207	0.000265034
9606.726742	0.000390394
9606.97428	0.000401798
9607.221821	0.000504444
9607.469363	0.000504328
9607.716908	0.000356152
9607.964456	0.000458754
9608.212005	0.000493035
