Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
160,2/6/2023,2:38:10 PM,32,22.1,45,22.1
161,2/6/2023,2:38:15 PM,32,22.1,46,22.1
162,2/6/2023,2:38:20 PM,33,22.1,47,22.1
163,2/6/2023,2:38:25 PM,33,22.1,47,22.1
164,2/6/2023,2:38:30 PM,34,22.1,48,22.0
165,2/6/2023,2:38:35 PM,35,22.1,48,22.0
166,2/6/2023,2:38:40 PM,35,22.1,49,22.0
167,2/6/2023,2:38:45 PM,36,22.1,50,22.0
168,2/6/2023,2:38:50 PM,37,22.1,52,22.0
169,2/6/2023,2:38:55 PM,39,22.1,52,22.0
170,2/6/2023,2:39:00 PM,39,22.1,54,22.0
171,2/6/2023,2:39:05 PM,41,22.1,55,22.0
172,2/6/2023,2:39:10 PM,41,22.1,55,22.0
173,2/6/2023,2:39:15 PM,42,22.1,58,21.9
174,2/6/2023,2:39:20 PM,44,22.1,60,21.9
175,2/6/2023,2:39:25 PM,46,22.1,62,21.9
176,2/6/2023,2:39:30 PM,47,22.1,63,21.9
177,2/6/2023,2:39:35 PM,49,22.1,65,21.9
178,2/6/2023,2:39:40 PM,52,22.1,67,21.9
179,2/6/2023,2:39:45 PM,54,22.1,70,21.9
180,2/6/2023,2:39:50 PM,56,22.1,72,21.9
181,2/6/2023,2:39:55 PM,58,22.1,74,21.9
182,2/6/2023,2:40:00 PM,60,22.1,76,21.9
183,2/6/2023,2:40:05 PM,63,22.1,79,21.9
184,2/6/2023,2:40:10 PM,65,22.1,81,21.9
185,2/6/2023,2:40:15 PM,67,22.1,83,21.9
186,2/6/2023,2:40:20 PM,69,22.1,85,21.9
187,2/6/2023,2:40:25 PM,71,22.1,86,21.9
188,2/6/2023,2:40:30 PM,74,22.1,88,21.9
189,2/6/2023,2:40:35 PM,76,22.1,89,21.9
190,2/6/2023,2:40:40 PM,76,22.1,91,21.9
191,2/6/2023,2:40:45 PM,79,22.1,91,21.9
192,2/6/2023,2:40:50 PM,79,22.1,93,21.9
193,2/6/2023,2:40:55 PM,81,22.1,94,21.9
194,2/6/2023,2:41:00 PM,82,22.1,96,21.9
195,2/6/2023,2:41:05 PM,84,22.1,97,21.9
196,2/6/2023,2:41:10 PM,84,22.1,97,21.9
197,2/6/2023,2:41:15 PM,85,22.1,98,21.9
198,2/6/2023,2:41:20 PM,87,22.1,100,21.9
199,2/6/2023,2:41:25 PM,87,22.1,100,21.9
200,2/6/2023,2:41:30 PM,88,22.1,101,21.9
201,2/6/2023,2:41:35 PM,89,22.1,102,21.9
202,2/6/2023,2:41:40 PM,91,22.1,102,21.9
203,2/6/2023,2:41:45 PM,91,22.1,103,21.9
204,2/6/2023,2:41:50 PM,92,22.1,104,21.9
205,2/6/2023,2:41:55 PM,92,22.1,104,21.9
206,2/6/2023,2:42:00 PM,93,22.1,105,21.9
207,2/6/2023,2:42:05 PM,93,22.1,105,21.9
208,2/6/2023,2:42:10 PM,94,22.1,106,21.9
209,2/6/2023,2:42:15 PM,94,22.1,107,21.9
210,2/6/2023,2:42:20 PM,95,22.1,107,21.9
211,2/6/2023,2:42:25 PM,96,22.1,108,21.9
212,2/6/2023,2:42:30 PM,96,22.1,109,21.9
213,2/6/2023,2:42:35 PM,97,22.1,109,21.9
214,2/6/2023,2:42:40 PM,97,22.1,110,21.9
215,2/6/2023,2:42:45 PM,98,22.1,110,21.9
216,2/6/2023,2:42:50 PM,99,22.1,111,21.9
217,2/6/2023,2:42:55 PM,99,22.1,111,21.9
218,2/6/2023,2:43:00 PM,100,22.1,112,21.9
219,2/6/2023,2:43:05 PM,100,22.1,112,21.9
220,2/6/2023,2:43:10 PM,101,22.1,113,21.9
221,2/6/2023,2:43:15 PM,101,22.1,113,21.9
222,2/6/2023,2:43:20 PM,102,22.1,114,21.9
223,2/6/2023,2:43:25 PM,102,22.1,114,21.9
224,2/6/2023,2:43:30 PM,103,22.1,115,21.9
225,2/6/2023,2:43:35 PM,103,22.1,115,21.9
226,2/6/2023,2:43:40 PM,104,22.1,116,21.9
227,2/6/2023,2:43:45 PM,104,22.1,116,21.9
228,2/6/2023,2:43:50 PM,105,22.1,117,21.9
229,2/6/2023,2:43:55 PM,105,22.1,117,21.9
230,2/6/2023,2:44:00 PM,106,22.1,118,21.9
231,2/6/2023,2:44:05 PM,106,22.1,118,21.9
232,2/6/2023,2:44:10 PM,107,22.1,119,21.9
233,2/6/2023,2:44:15 PM,107,22.1,119,21.9
234,2/6/2023,2:44:20 PM,108,22.1,120,21.9
235,2/6/2023,2:44:25 PM,108,22.1,120,21.9
236,2/6/2023,2:44:30 PM,109,22.1,121,21.9
237,2/6/2023,2:44:35 PM,109,22.1,121,21.8
238,2/6/2023,2:44:40 PM,110,22.1,121,21.8
239,2/6/2023,2:44:45 PM,110,22.2,122,21.8
240,2/6/2023,2:44:50 PM,110,22.2,122,21.8
241,2/6/2023,2:44:55 PM,111,22.2,123,21.8
242,2/6/2023,2:45:00 PM,111,22.2,123,21.8
243,2/6/2023,2:45:05 PM,112,22.2,123,21.8
244,2/6/2023,2:45:10 PM,112,22.2,124,21.8
245,2/6/2023,2:45:15 PM,113,22.2,124,21.8
246,2/6/2023,2:45:20 PM,113,22.2,125,21.8
247,2/6/2023,2:45:25 PM,114,22.2,125,21.8
248,2/6/2023,2:45:30 PM,114,22.2,126,21.8
249,2/6/2023,2:45:35 PM,114,22.2,126,21.8
250,2/6/2023,2:45:40 PM,115,22.2,126,21.8
251,2/6/2023,2:45:45 PM,115,22.2,127,21.8
252,2/6/2023,2:45:50 PM,116,22.2,127,21.8
253,2/6/2023,2:45:55 PM,116,22.2,128,21.8
254,2/6/2023,2:46:00 PM,117,22.2,128,21.8
255,2/6/2023,2:46:05 PM,117,22.2,128,21.8
256,2/6/2023,2:46:10 PM,117,22.2,129,21.8
257,2/6/2023,2:46:15 PM,118,22.2,129,21.8
258,2/6/2023,2:46:20 PM,118,22.2,130,21.8
259,2/6/2023,2:46:25 PM,119,22.2,130,21.8
260,2/6/2023,2:46:30 PM,119,22.2,131,21.8
261,2/6/2023,2:46:35 PM,119,22.2,131,21.8
262,2/6/2023,2:46:40 PM,120,22.2,131,21.8
263,2/6/2023,2:46:45 PM,120,22.2,132,21.8
264,2/6/2023,2:46:50 PM,121,22.2,132,21.8
265,2/6/2023,2:46:55 PM,121,22.2,132,21.8
266,2/6/2023,2:47:00 PM,121,22.2,133,21.8
267,2/6/2023,2:47:05 PM,122,22.2,133,21.8
268,2/6/2023,2:47:10 PM,122,22.2,133,21.8
269,2/6/2023,2:47:15 PM,122,22.2,134,21.8
270,2/6/2023,2:47:20 PM,123,22.2,134,21.8
271,2/6/2023,2:47:25 PM,123,22.2,134,21.8
272,2/6/2023,2:47:30 PM,123,22.2,134,21.8
273,2/6/2023,2:47:35 PM,123,22.2,135,21.8
274,2/6/2023,2:47:40 PM,124,22.2,135,21.8
275,2/6/2023,2:47:45 PM,124,22.2,135,21.8
276,2/6/2023,2:47:50 PM,124,22.2,135,21.8
277,2/6/2023,2:47:55 PM,124,22.2,135,21.8
278,2/6/2023,2:48:00 PM,125,22.2,136,21.8
279,2/6/2023,2:48:05 PM,125,22.2,136,21.8
280,2/6/2023,2:48:10 PM,125,22.2,136,21.8
281,2/6/2023,2:48:15 PM,125,22.2,136,21.8
282,2/6/2023,2:48:20 PM,125,22.2,136,21.8
283,2/6/2023,2:48:25 PM,125,22.2,137,21.8
284,2/6/2023,2:48:30 PM,126,22.2,137,21.8
285,2/6/2023,2:48:35 PM,126,22.2,137,21.8
286,2/6/2023,2:48:40 PM,126,22.2,137,21.8
287,2/6/2023,2:48:45 PM,126,22.2,137,21.8
288,2/6/2023,2:48:50 PM,127,22.2,138,21.8
289,2/6/2023,2:48:55 PM,127,22.2,138,21.8
290,2/6/2023,2:49:00 PM,127,22.2,138,21.8
